component_name,source_location,category,variants,sizes,states,usage_locations,figma_recommendation,notes
SchoolLogo,/Users/musatafa/modon-school/components/SchoolLogo.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / SchoolLogo / composite,Shared cross-route component; prioritize tokenization.
SchoolScopeBanner,/Users/musatafa/modon-school/components/SchoolScopeBanner.tsx,feedback-state,route-specific composition,content-driven,loading|success|warning|error|empty,shared,CMP / SchoolScopeBanner / feedback-state,Shared cross-route component; prioritize tokenization.
ThemeModeToggle,/Users/musatafa/modon-school/components/ThemeModeToggle.tsx,control-pattern,variant=floating|inline; option=system|light|dark,content-driven,default|hover|active|disabled|open,shared,CMP / ThemeModeToggle / control-pattern,Shared cross-route component; prioritize tokenization.
ThemeToggle,/Users/musatafa/modon-school/components/ThemeToggle.tsx,control-pattern,variant=floating|inline; option=system|light|dark,content-driven,default|hover|active|disabled|open,shared,CMP / ThemeToggle / control-pattern,Shared cross-route component; prioritize tokenization.
UltrathinkLogo,/Users/musatafa/modon-school/components/UltrathinkLogo.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / UltrathinkLogo / composite,Shared cross-route component; prioritize tokenization.
BrandLockup,/Users/musatafa/modon-school/components/brand/BrandLockup.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / BrandLockup / composite,Shared cross-route component; prioritize tokenization.
SchoolLogo,/Users/musatafa/modon-school/components/brand/SchoolLogo.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / SchoolLogo / composite,Shared cross-route component; prioritize tokenization.
Breadcrumb,/Users/musatafa/modon-school/components/school/Breadcrumb.tsx,navigation-layout,route-specific composition,content-driven,default|hover|active|current|mobile-open,shared,CMP / Breadcrumb / navigation-layout,Shared cross-route component; prioritize tokenization.
DataTableShell,/Users/musatafa/modon-school/components/school/DataTableShell.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,shared,CMP / DataTableShell / data-table,Shared cross-route component; prioritize tokenization.
ListPagination,/Users/musatafa/modon-school/components/school/ListPagination.tsx,data-table,state=default|active-page|disabled,content-driven,loading|empty|error|default|filtered|paginated,shared,CMP / ListPagination / data-table,Shared cross-route component; prioritize tokenization.
SchoolModuleLayout,/Users/musatafa/modon-school/components/school/SchoolModuleLayout.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / SchoolModuleLayout / composite,Shared cross-route component; prioritize tokenization.
skeleton,/Users/musatafa/modon-school/components/skeleton.tsx,feedback-state,route-specific composition,content-driven,loading|success|warning|error|empty,shared,CMP / skeleton / feedback-state,Shared cross-route component; prioritize tokenization.
toast,/Users/musatafa/modon-school/components/toast.tsx,feedback-state,route-specific composition,content-driven,loading|success|warning|error|empty,shared,CMP / toast / feedback-state,Shared cross-route component; prioritize tokenization.
button,/Users/musatafa/modon-school/components/ui/button.tsx,primitive,variant=default|outline|secondary; size=default|sm,sm|default,default|hover|focus|active|disabled,shared,CMP / button / primitive,Shared cross-route component; prioritize tokenization.
card,/Users/musatafa/modon-school/components/ui/card.tsx,primitive,route-specific composition,content-driven,default|hover|focus|active|disabled,shared,CMP / card / primitive,Shared cross-route component; prioritize tokenization.
input,/Users/musatafa/modon-school/components/ui/input.tsx,primitive,route-specific composition,56px field height,default|hover|focus|active|disabled,shared,CMP / input / primitive,Shared cross-route component; prioritize tokenization.
stats-card,/Users/musatafa/modon-school/components/ui/stats-card.tsx,primitive,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|focus|active|disabled,shared,CMP / stats-card / primitive,Shared cross-route component; prioritize tokenization.
ClassFeesTable,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/ClassFeesTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,dashboard,CMP / ClassFeesTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
ClassesModal,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/ClassesModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,dashboard,CMP / ClassesModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
DashboardActions,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/DashboardActions.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,dashboard,CMP / DashboardActions / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
FeeModal,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/FeeModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,dashboard,CMP / FeeModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
FinancialAnalysisPanel,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/FinancialAnalysisPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / FinancialAnalysisPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
NotificationsPanel,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/NotificationsPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / NotificationsPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
OverdueStudentsPanel,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/OverdueStudentsPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / OverdueStudentsPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
RecentActivityPanel,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/RecentActivityPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / RecentActivityPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
RecentPaymentsPanel,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/RecentPaymentsPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / RecentPaymentsPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
SchoolBrandingPanel,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/SchoolBrandingPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / SchoolBrandingPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
StatisticsCards,/Users/musatafa/modon-school/app/[locale]/dashboard/_components/StatisticsCards.tsx,summary-card,route-specific composition,content-driven,default|hover|selected|loading|empty,dashboard,CMP / StatisticsCards / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
ArchiveDetailModal,/Users/musatafa/modon-school/app/[locale]/payments/_components/ArchiveDetailModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,payments,CMP / ArchiveDetailModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
PaymentModal,/Users/musatafa/modon-school/app/[locale]/payments/_components/PaymentModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,payments,CMP / PaymentModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsArchive,/Users/musatafa/modon-school/app/[locale]/payments/_components/PaymentsArchive.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,payments,CMP / PaymentsArchive / composite,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsFilters,/Users/musatafa/modon-school/app/[locale]/payments/_components/PaymentsFilters.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,payments,CMP / PaymentsFilters / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsStats,/Users/musatafa/modon-school/app/[locale]/payments/_components/PaymentsStats.tsx,summary-card,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|selected|loading|empty,payments,CMP / PaymentsStats / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsTable,/Users/musatafa/modon-school/app/[locale]/payments/_components/PaymentsTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,payments,CMP / PaymentsTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsToolbar,/Users/musatafa/modon-school/app/[locale]/payments/_components/PaymentsToolbar.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,payments,CMP / PaymentsToolbar / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
StudentDetailPanel,/Users/musatafa/modon-school/app/[locale]/payments/_components/StudentDetailPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,payments,CMP / StudentDetailPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
ArchiveSection,/Users/musatafa/modon-school/app/[locale]/salaries/_components/ArchiveSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / ArchiveSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
CalendarSection,/Users/musatafa/modon-school/app/[locale]/salaries/_components/CalendarSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / CalendarSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
DailyLogModal,/Users/musatafa/modon-school/app/[locale]/salaries/_components/DailyLogModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / DailyLogModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
DeductionsSection,/Users/musatafa/modon-school/app/[locale]/salaries/_components/DeductionsSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / DeductionsSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
ExportModal,/Users/musatafa/modon-school/app/[locale]/salaries/_components/ExportModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / ExportModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
LessonTimesModal,/Users/musatafa/modon-school/app/[locale]/salaries/_components/LessonTimesModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / LessonTimesModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
ManagerModals,/Users/musatafa/modon-school/app/[locale]/salaries/_components/ManagerModals.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / ManagerModals / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
PaySalaryModal,/Users/musatafa/modon-school/app/[locale]/salaries/_components/PaySalaryModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / PaySalaryModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
PricesModal,/Users/musatafa/modon-school/app/[locale]/salaries/_components/PricesModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / PricesModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
PrintModal,/Users/musatafa/modon-school/app/[locale]/salaries/_components/PrintModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / PrintModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
QuickAccessGrid,/Users/musatafa/modon-school/app/[locale]/salaries/_components/QuickAccessGrid.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / QuickAccessGrid / composite,Feature-specific composite; rebuild after shared primitives and shell.
ReportsSection,/Users/musatafa/modon-school/app/[locale]/salaries/_components/ReportsSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / ReportsSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
SalariesSidebar,/Users/musatafa/modon-school/app/[locale]/salaries/_components/SalariesSidebar.tsx,navigation-layout,role=employee|admin|super_admin; state=desktop|mobile,224 desktop width; 280 mobile drawer,default|hover|active|current|mobile-open,salaries,CMP / SalariesSidebar / navigation-layout,Feature-specific composite; rebuild after shared primitives and shell.
ScheduleSection,/Users/musatafa/modon-school/app/[locale]/salaries/_components/ScheduleSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / ScheduleSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
SettingsSection,/Users/musatafa/modon-school/app/[locale]/salaries/_components/SettingsSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / SettingsSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
StatsCards,/Users/musatafa/modon-school/app/[locale]/salaries/_components/StatsCards.tsx,summary-card,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|selected|loading|empty,salaries,CMP / StatsCards / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
TeacherDetailPanel,/Users/musatafa/modon-school/app/[locale]/salaries/_components/TeacherDetailPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / TeacherDetailPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
TeacherDropdownMenu,/Users/musatafa/modon-school/app/[locale]/salaries/_components/TeacherDropdownMenu.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / TeacherDropdownMenu / composite,Feature-specific composite; rebuild after shared primitives and shell.
TeacherModal,/Users/musatafa/modon-school/app/[locale]/salaries/_components/TeacherModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / TeacherModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
TeachersTable,/Users/musatafa/modon-school/app/[locale]/salaries/_components/TeachersTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,salaries,CMP / TeachersTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
AccountCardModal,/Users/musatafa/modon-school/app/[locale]/students/_components/AccountCardModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / AccountCardModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
AddStudentModal,/Users/musatafa/modon-school/app/[locale]/students/_components/AddStudentModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / AddStudentModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
DeleteConfirmModal,/Users/musatafa/modon-school/app/[locale]/students/_components/DeleteConfirmModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / DeleteConfirmModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
EditStudentModal,/Users/musatafa/modon-school/app/[locale]/students/_components/EditStudentModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / EditStudentModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
ImportExcelModal,/Users/musatafa/modon-school/app/[locale]/students/_components/ImportExcelModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / ImportExcelModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
StudentDropdownMenu,/Users/musatafa/modon-school/app/[locale]/students/_components/StudentDropdownMenu.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,students,CMP / StudentDropdownMenu / composite,Feature-specific composite; rebuild after shared primitives and shell.
StudentsPageStyles,/Users/musatafa/modon-school/app/[locale]/students/_components/StudentsPageStyles.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,students,CMP / StudentsPageStyles / composite,Feature-specific composite; rebuild after shared primitives and shell.
StudentsStats,/Users/musatafa/modon-school/app/[locale]/students/_components/StudentsStats.tsx,summary-card,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|selected|loading|empty,students,CMP / StudentsStats / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
StudentsTable,/Users/musatafa/modon-school/app/[locale]/students/_components/StudentsTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,students,CMP / StudentsTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
StudentsTabs,/Users/musatafa/modon-school/app/[locale]/students/_components/StudentsTabs.tsx,composite,tab item set; state=default|active,content-driven,default|loading|error|empty|success,students,CMP / StudentsTabs / composite,Feature-specific composite; rebuild after shared primitives and shell.
StudentsToolbar,/Users/musatafa/modon-school/app/[locale]/students/_components/StudentsToolbar.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,students,CMP / StudentsToolbar / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
DeleteConfirmDialog,/Users/musatafa/modon-school/app/[locale]/super-admin/_components/DeleteConfirmDialog.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,super-admin,CMP / DeleteConfirmDialog / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
OverviewTab,/Users/musatafa/modon-school/app/[locale]/super-admin/_components/OverviewTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / OverviewTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
SchoolForm,/Users/musatafa/modon-school/app/[locale]/super-admin/_components/SchoolForm.tsx,form-field,route-specific composition,content-driven,default|hover|focus|filled|disabled|error|success,super-admin,CMP / SchoolForm / form-field,Feature-specific composite; rebuild after shared primitives and shell.
SchoolsTab,/Users/musatafa/modon-school/app/[locale]/super-admin/_components/SchoolsTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / SchoolsTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
SubscriptionsTab,/Users/musatafa/modon-school/app/[locale]/super-admin/_components/SubscriptionsTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / SubscriptionsTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
UserForm,/Users/musatafa/modon-school/app/[locale]/super-admin/_components/UserForm.tsx,form-field,route-specific composition,content-driven,default|hover|focus|filled|disabled|error|success,super-admin,CMP / UserForm / form-field,Feature-specific composite; rebuild after shared primitives and shell.
UsersTab,/Users/musatafa/modon-school/app/[locale]/super-admin/_components/UsersTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / UsersTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
ui,/Users/musatafa/modon-school/app/[locale]/super-admin/_components/ui.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / ui / composite,Feature-specific composite; rebuild after shared primitives and shell.
AuditLogTab,/Users/musatafa/modon-school/app/[locale]/super-admin/components/AuditLogTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / AuditLogTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
BranchesTab,/Users/musatafa/modon-school/app/[locale]/super-admin/components/BranchesTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / BranchesTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
MonitoringTab,/Users/musatafa/modon-school/app/[locale]/super-admin/components/MonitoringTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / MonitoringTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
NotificationsTab,/Users/musatafa/modon-school/app/[locale]/super-admin/components/NotificationsTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / NotificationsTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
OverviewCharts,/Users/musatafa/modon-school/app/[locale]/super-admin/components/OverviewCharts.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / OverviewCharts / composite,Feature-specific composite; rebuild after shared primitives and shell.
RolesTab,/Users/musatafa/modon-school/app/[locale]/super-admin/components/RolesTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / RolesTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
TrashTab,/Users/musatafa/modon-school/app/[locale]/super-admin/components/TrashTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / TrashTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
UI,/Users/musatafa/modon-school/app/[locale]/super-admin/components/UI.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / UI / composite,Feature-specific composite; rebuild after shared primitives and shell.
AccountCardModal,/Users/musatafa/modon-school/app/[locale]/teachers/_components/AccountCardModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,teachers,CMP / AccountCardModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
TeacherFormModal,/Users/musatafa/modon-school/app/[locale]/teachers/_components/TeacherFormModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,teachers,CMP / TeacherFormModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
TeacherImportModal,/Users/musatafa/modon-school/app/[locale]/teachers/_components/TeacherImportModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,teachers,CMP / TeacherImportModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
TeachersActions,/Users/musatafa/modon-school/app/[locale]/teachers/_components/TeachersActions.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,teachers,CMP / TeachersActions / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
TeachersFilters,/Users/musatafa/modon-school/app/[locale]/teachers/_components/TeachersFilters.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,teachers,CMP / TeachersFilters / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
TeachersStats,/Users/musatafa/modon-school/app/[locale]/teachers/_components/TeachersStats.tsx,summary-card,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|selected|loading|empty,teachers,CMP / TeachersStats / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
TeachersTable,/Users/musatafa/modon-school/app/[locale]/teachers/_components/TeachersTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,teachers,CMP / TeachersTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
ui,/Users/musatafa/modon-school/app/[locale]/teachers/_components/ui.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,teachers,CMP / ui / composite,Feature-specific composite; rebuild after shared primitives and shell.
