# Generated: 2026-04-08 (v2)
# Component inventory for School App - Next.js 16.1.7 Web Admin
# Categories: shell, navigation, ui-primitive, form, data-display, feedback, overlay, brand, layout, chart, page-specific

component_name,source_location,category,variants,sizes,states,usage_locations,figma_recommendation,notes
ThemeModeToggle,components/ThemeModeToggle.tsx,control,variant=floating|inline; compact=true|false; showLabels=true|false,40px default; 38px compact,active; hover,ProfileMenu; floating UI,CMP / ThemeModeToggle / theme-selector,Theme mode selector (System/Light/Dark)
ThemeToggle,components/ThemeToggle.tsx,control,dark ↔ light only,16px icon,default; hover,legacy usage,CMP / ThemeToggle / simple-toggle,Simple dark/light theme toggle (ThemeModeToggle preferred)
UltrathinkLogo,components/UltrathinkLogo.tsx,brand,with/without text,configurable logo size,default; passive,AppSidebar; Header; branding areas,CMP / BrandLockup / branding,Application branding lockup (alias for BrandLockup)
skeleton,components/skeleton.tsx,feedback,SkBox; StatCardSkeleton; TableSkeleton; AnalysisSkeleton; StudentCardSkeleton; DashboardSkeleton; StudentsPageSkeleton; PaymentsPageSkeleton,responsive grid layouts,passive loading indicators,DataTableShell; dashboard pages,CMP / Skeleton / loading-placeholder,8 distinct skeleton types for loading states
toast,components/toast.tsx,feedback,success; error; warning; info,280px min; 360px max width,default; hover; progress,global notification system,CMP / Toast / notification,Toast notification system with context provider and hook
button,components/ui/button.tsx,ui-primitive,variant=default|outline|secondary; size=default|sm,h-10 default; h-9 sm,default; hover; focus-visible; disabled,forms; modals; actions,CMP / button / primitive,Reusable button component with variants and sizes
card,components/ui/card.tsx,ui-primitive,Card; CardHeader; CardTitle; CardDescription; CardContent; CardFooter,full-width,default; passive,dashboard sections; data displays,CMP / Card / container,Container component with styling presets
input,components/ui/input.tsx,form,h-12 height; full width,48px height; full width,default; hover; focus-visible; disabled,forms; search fields; filters,CMP / Input / form-field,Text input field with consistent styling
stats-card,components/ui/stats-card.tsx,data-display,variant=primary|info|success|warning|danger|neutral,responsive via KPIGrid,default; hover lift,dashboard KPI sections,CMP / StatsCard / metric-display,KPI display card with icon and trend indicator
KPIGrid,components/ui/stats-card.tsx,layout,sm:grid-cols-2 lg:grid-cols-4,responsive grid,N/A,dashboard KPI sections,CMP / KPIGrid / layout,Grid layout helper for stats cards
Breadcrumb,components/school/Breadcrumb.tsx,navigation,link vs current page,inline display,default; current,school module pages,CMP / Breadcrumb / navigation,Navigation breadcrumb trail
DataTableShell,components/school/DataTableShell.tsx,data-display,loading; error; empty; data,responsive container,loading; error; empty; default; filtered; paginated,all data-driven pages,CMP / DataTableShell / data-container,Data table container with loading/error/empty states
ListPagination,components/school/ListPagination.tsx,navigation,active-page; disabled; gap indicators,inline button group,active; inactive; disabled,all data table pages,CMP / ListPagination / pagination,Pagination control for paginated data lists
SchoolModuleLayout,components/school/SchoolModuleLayout.tsx,layout,full-screen layout wrapper,full-screen,N/A,school admin module pages,CMP / SchoolModuleLayout / page-shell,Wrapper layout for school administration module pages
schoolModuleStyles,components/school/schoolModuleStyles.ts,utility,N/A,N/A,N/A,school module pages,N/A (utility),Minimal CSS reset for school module pages
BrandLockup,components/brand/BrandLockup.tsx,brand,showText=true|false; size=sm|md|lg,36px default size,default; passive,AppSidebar; Header; branding areas,CMP / BrandLockup / branding,Application branding lockup with school logo and name
SchoolLogo,components/brand/SchoolLogo.tsx,brand,image vs initials fallback,44px default size,error handling fallback,BrandLockup; AppShellTopbar,CMP / SchoolLogo / image-with-fallback,School logo image with fallback initials
ClassFeesTable,app/[locale]/dashboard/_components/ClassFeesTable.tsx,data-display,sortable/editable table,responsive grid,loading; empty; error; default,dashboard,CMP / ClassFeesTable / data-table,Class fees table with add/edit/delete operations
ClassesModal,app/[locale]/dashboard/_components/ClassesModal.tsx,overlay,dual-form modal,480|720|1120 width,closed; open; busy; error; success,dashboard,CMP / ClassesModal / overlay-detail,Modal for class and section management
DashboardActions,app/[locale]/dashboard/_components/DashboardActions.tsx,control,action buttons with conditions,inline,default; hover; active; disabled,dashboard,CMP / DashboardActions / control-pattern,Dashboard action buttons with conditions
FeeModal,app/[locale]/dashboard/_components/FeeModal.tsx,overlay,fee entry form with installment calculator,480|720|1120 width,closed; open; busy; error; success,dashboard,CMP / FeeModal / overlay-detail,Fee entry form modal with installment calculator
FinancialAnalysisPanel,app/[locale]/dashboard/_components/FinancialAnalysisPanel.tsx,data-display,financial breakdown with charts; progress bars,responsive grid,loading; empty; success,dashboard,CMP / FinancialAnalysisPanel / composite,Financial breakdown panel with charts and color-coded cards
NotificationsPanel,app/[locale]/dashboard/_components/NotificationsPanel.tsx,data-display,notification list with unread state; refresh capability,list layout,loading; empty; default; unread,dashboard,CMP / NotificationsPanel / composite,Notification list panel with unread state and refresh
OverdueStudentsPanel,app/[locale]/dashboard/_components/OverdueStudentsPanel.tsx,data-display,outstanding fees list with color coding,list layout,loading; empty; default,dashboard,CMP / OverdueStudentsPanel / composite,Outstanding fees list panel with color coding
RecentActivityPanel,app/[locale]/dashboard/_components/RecentActivityPanel.tsx,data-display,activity feed with type-specific icons; status badges,list layout,loading; empty; default,dashboard,CMP / RecentActivityPanel / composite,Activity feed panel with type-specific icons and status badges
RecentPaymentsPanel,app/[locale]/dashboard/_components/RecentPaymentsPanel.tsx,data-display,payment transaction list,list layout,loading; empty; default,dashboard,CMP / RecentPaymentsPanel / composite,Payment transaction list panel
SchoolBrandingPanel,app/[locale]/dashboard/_components/SchoolBrandingPanel.tsx,form,branding customization with color pickers; theme presets; live preview,form layout,default; loading; success; error,dashboard,CMP / SchoolBrandingPanel / composite,Branding customization panel with color pickers and theme presets
StatisticsCards,app/[locale]/dashboard/_components/StatisticsCards.tsx,data-display,7 KPI cards in 2 grid layouts,responsive grid,loading; empty; default,dashboard,CMP / StatisticsCards / summary-card,Dashboard statistics cards with formatters
ArchiveDetailModal,app/[locale]/payments/_components/ArchiveDetailModal.tsx,overlay,archive detail with KPI grid and tables,max-w-[1600px]; max-h-[88vh],closed; open; busy; error; success,payments,CMP / ArchiveDetailModal / overlay-detail,Archive detail modal with KPI grid and archived data tables
PaymentModal,app/[locale]/payments/_components/PaymentModal.tsx,form,payment entry form with student search; autocomplete,480|720|1120 width,closed; open; busy; error; success,payments,CMP / PaymentModal / overlay-detail,Payment entry modal with student autocomplete and receipt generation
PaymentsArchive,app/[locale]/payments/_components/PaymentsArchive.tsx,data-display,yearly archive cards list; archive controls,responsive grid,loading; empty; archiving; default,payments,CMP / PaymentsArchive / composite,Yearly payment archive section with cards and controls
PaymentsFilters,app/[locale]/payments/_components/PaymentsFilters.tsx,control,quick filters + advanced filters grid,responsive layout,default; hover; active; disabled,payments,CMP / PaymentsFilters / control-pattern,Payments quick filters and advanced filter controls
PaymentsStats,app/[locale]/payments/_components/PaymentsStats.tsx,data-display,4 stat cards grid,responsive grid,loading; default,payments,CMP / PaymentsStats / summary-card,Payments statistics cards
PaymentsTable,app/[locale]/payments/_components/PaymentsTable.tsx,data-display,9-column desktop table; mobile cards,responsive,loading; empty; error; default; filtered; paginated,payments,CMP / PaymentsTable / data-table,Payments ledger table with responsive mobile cards
PaymentsToolbar,app/[locale]/payments/_components/PaymentsToolbar.tsx,control,filter and action buttons,inline,default; hover; active; disabled,payments,CMP / PaymentsToolbar / control-pattern,Payments toolbar with filters and actions
StudentDetailPanel,app/[locale]/payments/_components/StudentDetailPanel.tsx,overlay,right slide-out panel; student info; payment rows,drawer width variable,loading; ready; empty; payment pending; delete pending,payments,CMP / StudentDetailPanel / composite,Student detail drawer panel with payment history
ArchiveSection,app/[locale]/salaries/_components/ArchiveSection.tsx,data-display,monthly archive list,responsive,loading; empty; default,salaries,CMP / ArchiveSection / composite,Salaries monthly archive section
CalendarSection,app/[locale]/salaries/_components/CalendarSection.tsx,data-display,calendar view of salary events,calendar layout,loading; empty; default,salaries,CMP / CalendarSection / composite,Salaries calendar section
DailyLogModal,app/[locale]/salaries/_components/DailyLogModal.tsx,form,date picker with attendance entries,modal width variable,closed; open; busy; error; success,salaries,CMP / DailyLogModal / overlay-detail,Daily log modal for attendance entries
DeductionsSection,app/[locale]/salaries/_components/DeductionsSection.tsx,data-display,deductions list and management,responsive,loading; empty; default,salaries,CMP / DeductionsSection / composite,Salaries deductions section
ExportModal,app/[locale]/salaries/_components/ExportModal.tsx,form,format selection; date range; include options,modal width variable,closed; open; busy; error; success,salaries,CMP / ExportModal / overlay-detail,Export modal with format and options selection
LessonTimesModal,app/[locale]/salaries/_components/LessonTimesModal.tsx,form,lesson time management form,modal width variable,closed; open; busy; error; success,salaries,CMP / LessonTimesModal / overlay-detail,Lesson times management modal
ManagerModals,app/[locale]/salaries/_components/ManagerModals.tsx,overlay,complex modal management system,modal width variable,closed; open; busy; error; success,salaries,CMP / ManagerModals / overlay-detail,Manager modals for salary operations
PaySalaryModal,app/[locale]/salaries/_components/PaySalaryModal.tsx,form,teacher; month; gross; deductions; net; payment details,modal width variable,closed; open; busy; error; success,salaries,CMP / PaySalaryModal / overlay-detail,Pay salary modal with calculation breakdown
PricesModal,app/[locale]/salaries/_components/PricesModal.tsx,form,price management form,modal width variable,closed; open; busy; error; success,salaries,CMP / PricesModal / overlay-detail,Prices configuration modal
PrintModal,app/[locale]/salaries/_components/PrintModal.tsx,overlay,printable summary with wrapPrintDocument,print layout,closed; open; printing,salaries,CMP / PrintModal / overlay-detail,Print modal for salary documents
QuickAccessGrid,app/[locale]/salaries/_components/QuickAccessGrid.tsx,layout,quick action buttons grid,responsive grid,default,salaries,CMP / QuickAccessGrid / composite,Quick access action buttons grid
ReportsSection,app/[locale]/salaries/_components/ReportsSection.tsx,data-display,summary view; details view,responsive,loading; empty; default; export,salaries,CMP / ReportsSection / composite,Salaries reports section with two views
SalariesSidebar,app/[locale]/salaries/_components/SalariesSidebar.tsx,navigation,7 section tabs; desktop sticky; mobile overlay,224px width,hover; active; selected; mobile-open,salaries,CMP / SalariesSidebar / navigation-layout,Salaries secondary sidebar navigation
ScheduleSection,app/[locale]/salaries/_components/ScheduleSection.tsx,data-display,lesson schedule management,responsive,loading; empty; default,salaries,CMP / ScheduleSection / composite,Salaries schedule section
SettingsSection,app/[locale]/salaries/_components/SettingsSection.tsx,form,module configuration form,form layout,default; loading; saving; success; error,salaries,CMP / SettingsSection / composite,Salaries settings section
StatsCards,app/[locale]/salaries/_components/StatsCards.tsx,data-display,summary metrics cards,responsive grid,loading; default,salaries,CMP / StatsCards / summary-card,Salaries statistics cards
TeacherDetailPanel,app/[locale]/salaries/_components/TeacherDetailPanel.tsx,overlay,teacher detail drawer,drawer width variable,loading; ready; empty,salaries,CMP / TeacherDetailPanel / composite,Teacher detail drawer panel
TeacherDropdownMenu,app/[locale]/salaries/_components/TeacherDropdownMenu.tsx,control,teacher action dropdown,inline,default; open; hover,salaries,CMP / TeacherDropdownMenu / control-pattern,Teacher row action dropdown menu
TeacherModal,app/[locale]/salaries/_components/TeacherModal.tsx,form,teacher create/edit form; assignment management,modal width variable,closed; open; busy; error; success,salaries,CMP / TeacherModal / overlay-detail,Teacher form modal with assignment management
TeachersTable,app/[locale]/salaries/_components/TeachersTable.tsx,data-display,7-column table with salary info,responsive,loading; empty; error; default; filtered; paginated,salaries,CMP / TeachersTable / data-table,Teachers table with salary information
AccountCardModal (students),app/[locale]/students/_components/AccountCardModal.tsx,overlay,login credentials display; print/copy options,modal width variable,closed; open; printing,students,CMP / AccountCardModal / overlay-detail,Student account card modal with credentials
AddStudentModal,app/[locale]/students/_components/AddStudentModal.tsx,form,3-step wizard (info → contact → fees),modal width variable,closed; open; step-1; step-2; step-3; busy; error; success,students,CMP / AddStudentModal / overlay-detail,Add student modal with 3-step wizard
DeleteConfirmModal,app/[locale]/students/_components/DeleteConfirmModal.tsx,overlay,deletion confirmation dialog,modal width variable,closed; open; busy; error; success,students,CMP / DeleteConfirmModal / overlay-detail,Student deletion confirmation modal
EditStudentModal,app/[locale]/students/_components/EditStudentModal.tsx,form,student edit form,modal width variable,closed; open; busy; error; success,students,CMP / EditStudentModal / overlay-detail,Student edit form modal
ImportExcelModal,app/[locale]/students/_components/ImportExcelModal.tsx,form,bulk import with preview and validation,modal width variable,closed; open; preview; validating; importing; error; success,students,CMP / ImportExcelModal / overlay-detail,Excel bulk import modal with preview
StudentDropdownMenu,app/[locale]/students/_components/StudentDropdownMenu.tsx,control,student row action dropdown,inline,default; open; hover,students,CMP / StudentDropdownMenu / control-pattern,Student row action dropdown menu
StudentsPageStyles,app/[locale]/students/_components/StudentsPageStyles.tsx,utility,N/A,N/A,N/A,students,N/A (utility),Students page specific styles
StudentsStats,app/[locale]/students/_components/StudentsStats.tsx,data-display,summary metrics cards,responsive grid,loading; default,students,CMP / StudentsStats / summary-card,Students statistics cards
StudentsTable,app/[locale]/students/_components/StudentsTable.tsx,data-display,desktop table + mobile cards; responsive,responsive,loading; empty; error; default; filtered; paginated,students,CMP / StudentsTable / data-table,Students table with responsive mobile cards
StudentsTabs,app/[locale]/students/_components/StudentsTabs.tsx,navigation,tab item set (Active; Transferred; Suspended; Deleted),inline,default; active; hover,students,CMP / StudentsTabs / navigation,Students status tab switcher
StudentsToolbar,app/[locale]/students/_components/StudentsToolbar.tsx,control,search; filters; export; import; print actions,inline,default; hover; active; disabled,students,CMP / StudentsToolbar / control-pattern,Students toolbar with search and actions
DeleteConfirmDialog (super-admin),app/[locale]/super-admin/_components/DeleteConfirmDialog.tsx,overlay,deletion confirmation dialog,modal width variable,closed; open; busy; error; success,super-admin,CMP / DeleteConfirmDialog / overlay-detail,Super-admin deletion confirmation dialog
OverviewTab,app/[locale]/super-admin/_components/OverviewTab.tsx,data-display,diagnostics grid; infrastructure status,responsive,loading; empty; default,super-admin,CMP / OverviewTab / composite,Super-admin overview tab with diagnostics
SchoolForm,app/[locale]/super-admin/_components/SchoolForm.tsx,form,school create/edit form with branding,form layout,default; hover; focus; filled; disabled; error; success,super-admin,CMP / SchoolForm / form-field,School form with branding options
SchoolsTab,app/[locale]/super-admin/_components/SchoolsTab.tsx,data-display,schools list with management actions,responsive,loading; empty; default; search; filtered,super-admin,CMP / SchoolsTab / composite,Super-admin schools management tab
SubscriptionsTab,app/[locale]/super-admin/_components/SubscriptionsTab.tsx,data-display,subscriptions list with plan status,responsive,loading; empty; default,super-admin,CMP / SubscriptionsTab / composite,Super-admin subscriptions management tab
UserForm,app/[locale]/super-admin/_components/UserForm.tsx,form,user create/edit with permission matrix,form layout,default; hover; focus; filled; disabled; error; success,super-admin,CMP / UserForm / form-field,User form with permission matrix
UsersTab,app/[locale]/super-admin/_components/UsersTab.tsx,data-display,users list with role filtering,responsive,loading; empty; default; search; filtered,super-admin,CMP / UsersTab / composite,Super-admin users management tab
ui (super-admin),app/[locale]/super-admin/_components/ui.tsx,ui-primitive,utility components,N/A,default,super-admin,CMP / ui / composite,Super-admin UI utility components
AuditLogTab,app/[locale]/super-admin/components/AuditLogTab.tsx,data-display,audit log table with filters,responsive,loading; empty; default; filtered,super-admin,CMP / AuditLogTab / composite,Super-admin audit log tab
BranchesTab,app/[locale]/super-admin/components/BranchesTab.tsx,data-display,branches list with management,responsive,loading; empty; default,super-admin,CMP / BranchesTab / composite,Super-admin branches management tab
MonitoringTab,app/[locale]/super-admin/components/MonitoringTab.tsx,data-display,system activity dashboard,dashboard layout,loading; empty; default,super-admin,CMP / MonitoringTab / composite,Super-admin system monitoring tab
NotificationsTab,app/[locale]/super-admin/components/NotificationsTab.tsx,data-display,system notifications list,responsive,loading; empty; default,super-admin,CMP / NotificationsTab / composite,Super-admin notifications management tab
OverviewCharts,app/[locale]/super-admin/components/OverviewCharts.tsx,chart,overview data visualization,responsive,default; loading,super-admin,CMP / OverviewCharts / data-visualization,Super-admin overview charts
RolesTab,app/[locale]/super-admin/components/RolesTab.tsx,data-display,custom roles list with permissions,responsive,loading; empty; default,super-admin,CMP / RolesTab / composite,Super-admin custom roles tab
TrashTab,app/[locale]/super-admin/components/TrashTab.tsx,data-display,soft-deleted items list with restore,responsive,loading; empty; default,super-admin,CMP / TrashTab / composite,Super-admin trash/recovery tab
UI (super-admin),app/[locale]/super-admin/components/UI.tsx,ui-primitive,utility components,N/A,default,super-admin,CMP / UI / composite,Super-admin UI components
AccountCardModal (teachers),app/[locale]/teachers/_components/AccountCardModal.tsx,overlay,teacher credentials display; print/copy,modal width variable,closed; open; printing,teachers,CMP / AccountCardModal / overlay-detail,Teacher account card modal with credentials
TeacherFormModal,app/[locale]/teachers/_components/TeacherFormModal.tsx,form,teacher create/edit form,modal width variable,closed; open; busy; error; success,teachers,CMP / TeacherFormModal / overlay-detail,Teacher form modal
TeacherImportModal,app/[locale]/teachers/_components/TeacherImportModal.tsx,form,Excel bulk import with preview,modal width variable,closed; open; preview; validating; importing; error; success,teachers,CMP / TeacherImportModal / overlay-detail,Teacher Excel import modal
TeachersActions,app/[locale]/teachers/_components/TeachersActions.tsx,control,bulk action buttons,inline,default; hover; active; disabled,teachers,CMP / TeachersActions / control-pattern,Teachers bulk action buttons
TeachersFilters,app/[locale]/teachers/_components/TeachersFilters.tsx,control,search and multi-select filters,responsive,default; hover; active; disabled,teachers,CMP / TeachersFilters / control-pattern,Teachers search and filter controls
TeachersStats,app/[locale]/teachers/_components/TeachersStats.tsx,data-display,summary metrics cards,responsive grid,loading; default,teachers,CMP / TeachersStats / summary-card,Teachers statistics cards
TeachersTable,app/[locale]/teachers/_components/TeachersTable.tsx,data-display,7-column table with teacher info,responsive,loading; empty; error; default; filtered; paginated,teachers,CMP / TeachersTable / data-table,Teachers management table
ui (teachers),app/[locale]/teachers/_components/ui.tsx,ui-primitive,utility components,N/A,default,teachers,CMP / ui / composite,Teachers UI utility components
