# Generated: 2026-04-08 (v2)
# Route inventory for School App - Next.js 16.1.7 Web Admin
# Includes routable pages + non-routable surfaces (tabs, modals, sections, overlays)

route,screen_name,screen_type,layout,auth_required,role,primary_purpose,key_states,modal_dependencies,notes
"/[locale]/students/deleted","Students - Deleted Tab","tab-panel","Students page container","yes","super_admin|admin","Soft-deleted students with restore option","table view; search; restore/permanent delete; empty state","","Admin-only access; restore and permanent delete actions"
"/[locale]/teachers","Teachers Management","page","App shell + management table","yes","super_admin|admin","Manage teacher accounts and teaching assignments","search; status/class/section/subject filters; loading; success; error; pagination","TeacherFormModal, TeacherImportModal, AccountCardModal","Localized stats, import/export, password reset actions"
"/[locale]/payments","Payments Management","page","App shell + KPI hero + table/detail panels","yes","super_admin|admin|employee","Track fees, receipts, archive yearly payment accounts, collect payments","meta loading; success; error; quick filters; sort direction; pagination","PaymentModal, ArchiveDetailModal, StudentDetailPanel, PaymentsArchive","Visual runtime inferred from code and older manual screenshot"
"/[locale]/payments/student-detail","Student Detail Panel","drawer","Payments page overlay","yes","super_admin|admin|employee","View student payment history and add new payments","loading; ready; empty; payment pending; delete pending","PaymentModal, ConfirmDialog","Right slide-out panel; shows student info, financial summary, payment rows"
"/[locale]/payments/archive","Payments Archive","conditional-section","Payments page section","yes","super_admin|admin|employee","Yearly payment archive management","archive list; archive detail; archiving; export","ArchiveDetailModal, ExportModal","Section at bottom of payments page; shows archived years"
"/[locale]/salaries","Salaries Management","page","App shell + internal secondary sidebar","yes","super_admin|admin","Manage teacher payroll, schedules, deductions, reports, archives, settings","section switching; teacher selection; loading; success; error","TeacherModal, PaySalaryModal, TeacherDetailPanel, PricesModal, LessonTimesModal, DailyLogModal, ExportModal, PrintModal, ManagerModals","Densest workflow surface in repo; route contains many pseudo-screens"
"/[locale]/salaries/main","Salaries - Main Section","tab-panel","Salaries page with sidebar","yes","super_admin|admin","Teacher table with quick actions and salary overview","table view; quick access grid; teacher selected","TeacherModal, PaySalaryModal, TeacherDetailPanel","Default section; shows teacher table and quick actions"
"/[locale]/salaries/schedule","Salaries - Schedule Section","tab-panel","Salaries page with sidebar","yes","super_admin|admin","Manage lesson schedules and times","schedule view; time slots; loading","LessonTimesModal","Lesson time management"
"/[locale]/salaries/deductions","Salaries - Deductions Section","tab-panel","Salaries page with sidebar","yes","super_admin|admin","Manage salary deductions","deductions list; add/edit deduction; loading","","Deduction type and amount management"
"/[locale]/salaries/calendar","Salaries - Calendar Section","tab-panel","Salaries page with sidebar","yes","super_admin|admin","Calendar view of salary payments and events","month view; event details; loading","","Calendar visualization"
"/[locale]/salaries/reports","Salaries - Reports Section","tab-panel","Salaries page with sidebar","yes","super_admin|admin","Salary reports and analytics","summary view; details view; export","ExportModal, PrintModal","Two sub-views: summary and details"
"/[locale]/salaries/archive","Salaries - Archive Section","tab-panel","Salaries page with sidebar","yes","super_admin|admin","Monthly salary archives","archive list; archive detail; loading","","Monthly archiving system"
"/[locale]/salaries/settings","Salaries - Settings Section","tab-panel","Salaries page with sidebar","yes","super_admin|admin","Salary module configuration","settings form; save; loading","","Module-level settings"
"/[locale]/expenses","Expenses Management","page","App shell + tabbed finance workspace","yes","super_admin|admin","Manage expense invoices and expense types","invoices/types tabs; search; date range filters; type filter; pagination; export","ExpenseForm, ExpenseTypeForm, DeleteConfirmDialog","Uses deferred search and data summaries"
"/[locale]/expenses/invoices","Expenses - Invoices Tab","tab-panel","Expenses page container","yes","super_admin|admin","Expense invoices list and management","table view; search; date filter; add/edit/delete","ExpenseForm, DeleteConfirmDialog","Default tab; expense records"
"/[locale]/expenses/types","Expenses - Types Tab","tab-panel","Expenses page container","yes","super_admin|admin","Expense category management","types table; add/edit/delete type","ExpenseTypeForm, DeleteConfirmDialog","Expense type CRUD"
"/[locale]/reports","Reports Center","page","App shell + dataset export center","yes","super_admin|admin","Load summarized metrics and export/print full datasets","loading; action loading by dataset; empty due to missing school scope; print/export","","Heavy dependence on live data; multiple printable states derived from same route"
"/[locale]/monitoring","Monitoring","page","App shell + custom split moderation workspace","yes","super_admin|admin","Moderate teacher messages and homework submissions","messages/homework tabs; meta filters; search; pagination; audit entries","DetailModal, EditMode, DeleteConfirmDialog","No AppShellTopbar; direct shell with school scope banner and custom header composition"
"/[locale]/monitoring/messages","Monitoring - Messages Tab","tab-panel","Monitoring page container","yes","super_admin|admin","Teacher messages moderation","messages table; search; filters; detail view","DetailModal, DeleteConfirmDialog","Messages and notifications list"
"/[locale]/monitoring/homework","Monitoring - Homework Tab","tab-panel","Monitoring page container","yes","super_admin|admin","Homework submissions moderation","homework table; search; filters; detail view","DetailModal, DeleteConfirmDialog","Homework list with edit capability"
"/[locale]/attendance","Attendance","page","App shell + editable data table","yes","super_admin|admin|employee","Daily attendance capture with batch actions and recent history","loading students; loading attendance; save pending; date/class/section/status filters; batch set actions; success; error; unrecorded filter","","Visual verification available from pre-existing local screenshot"
"/[locale]/fee-notifications","Fee Notifications","page","App shell + composer/history workspace","yes","super_admin|admin","Compose and review fee notification campaigns","target mode switching; branch/class/section/student filters; send pending; history pagination; loading; success/error toasts","HistoryDetailModal, ConfirmSendDialog","No AppShellTopbar; custom header composition similar to monitoring"
"/[locale]/schools","Schools","page","Legacy standalone admin list","yes","super_admin","Quick school activation and renewal overview","loading; empty; success message; renew action; toggle action","","Simple legacy page, visually older than super-admin console"
"/[locale]/subscriptions","Subscriptions","page","Legacy standalone admin list","yes","super_admin","Quick subscription status overview and renewal","loading; empty; success message; renew action","","Simple legacy page, visually older than super-admin console"
"/[locale]/super-admin","Super Admin Console","page","App shell + vertical tab rail","yes","super_admin","Central console for schools, users, subscriptions, audit, roles, monitoring, trash, branches","tab switching; search; spotlight filter; loading; background refresh; diagnostics banners","SchoolForm, UserForm, DeleteConfirmDialog, BranchesForm","Most important super-admin reconstruction surface; many internal pseudo-screens"
"/[locale]/super-admin/overview","Super Admin - Overview Tab","tab-panel","Super Admin console container","yes","super_admin","System diagnostics and summary KPIs","diagnostics view; infrastructure status; health metrics","","Infrastructure features status; system health"
"/[locale]/super-admin/schools","Super Admin - Schools Tab","tab-panel","Super Admin console container","yes","super_admin","Schools list and management","schools table; search; create/edit/delete","SchoolForm, DeleteConfirmDialog","School CRUD operations"
"/[locale]/super-admin/users","Super Admin - Users Tab","tab-panel","Super Admin console container","yes","super_admin","Admin users management","users table; search; role filter; create/edit/delete","UserForm, DeleteConfirmDialog","User CRUD with permission matrix"
"/[locale]/super-admin/subscriptions","Super Admin - Subscriptions Tab","tab-panel","Super Admin console container","yes","super_admin","Subscriptions management","subscriptions list; plan status; renew actions","","Subscription status and renewal"
"/[locale]/super-admin/audit","Super Admin - Audit Tab","tab-panel","Super Admin console container","yes","super_admin","Audit log viewer","audit log table; actor filter; action type filter; date range","","Conditional on infrastructure"
"/[locale]/super-admin/roles","Super Admin - Roles Tab","tab-panel","Super Admin console container","yes","super_admin","Custom roles editor","roles list; create/edit role; permissions matrix","RoleForm","Conditional on infrastructure"
"/[locale]/super-admin/trash","Super Admin - Trash Tab","tab-panel","Super Admin console container","yes","super_admin","Soft-deleted items recovery","deleted items list; restore; permanent delete","","Conditional on infrastructure"
"/[locale]/super-admin/notifications","Super Admin - Notifications Tab","tab-panel","Super Admin console container","yes","super_admin","System notifications management","notifications list; resend; archive; delete","","Conditional on infrastructure"
"/[locale]/super-admin/monitoring","Super Admin - Monitoring Tab","tab-panel","Super Admin console container","yes","super_admin","System activity monitor","activity dashboard; metrics; alerts","","Conditional on infrastructure"
"/[locale]/super-admin/branches","Super Admin - Branches Tab","tab-panel","Super Admin console container","yes","super_admin","Branch management","branches list; create/edit/delete","BranchesForm","Conditional on infrastructure"
"/[locale]/users","Users Redirect","page","Redirect only","yes","all authenticated","Compatibility redirect to teachers module","redirect","","No standalone UI; maps to /[locale]/teachers"
